COD_ACIDENTE;DATA;HORA;NATUREZA;SEVERIDADE;LOG1;LOG2;NUMERO_REFERENCIA;BAIRRO;JURISDICAO;LATITUDE;LONGITUDE;TIPOCRUZAMENTO;CONTROLETRAFEGO;LOCAL;ILUMINAÇÃO;TEMPO;SUPERFÍCIE DA PISTA;PRIMEIRA FONTE;AMCBO;SAMU;PECOFE;PRF;PRE;SIM
HQY9741;2024-08-09;16:47:31;Queda;Ferido;Presidente Castelo Branco;Rua Vila Velha;Cruzamento;Barra Do Ceara;;-3.7004966;-38.5868513;Cruzamento;;Não informado;;Não informado;;SAMU;;2408090728;;;;
THJ6078;2024-08-11;12:35:00;Queda;Ferido;Avenida Beira Mar;;3960;Meireles;;-3.723290699999999;-38.4855771;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408110430;;;;
IKY7546;2024-08-11;17:42:04;Colisão;Ferido;Avenida Godofredo Maciel;;4707;Mondubim;;-3.8163356;-38.5744407;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408110736;;;;
MBO7805;2024-08-11;20:52:26;Queda;Ferido;Lima Campos;;1135;Parque Presidente Vargas;;-3.8314962;-38.5993262;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408110938;;;;
BBV8542;2024-08-11;22:25:16;Queda;Ferido;Carneiro De Mendonça;;1386;Joquei Clube;;-3.7616878;-38.5712787;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408111039;;;;
DHP9799;2024-08-12;06:52:59;Colisão;Ferido;Da Paz;;215;Mucuripe;;-3.7341828;-38.5012847;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408120101;;;;
SCU0501;2024-08-12;12:39:51;Queda;Ferido;Rua Pedro Pereira;;491;Centro;;-3.7292765;-38.5298189;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408120435;;;;
USA9673;2024-08-13;08:53:04;Colisão;Ferido;Rua Rubia Sampaio;;1314;Farias Brito;;-3.7335474;-38.54104710000001;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408130239;;;;
SUM6711;2024-08-14;21:40:56;Queda;Ferido;Tiradentes;;351;Rodolfo Teofilo;;-3.7430775;-38.5480115;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408141001;;;;
YTK2307;2024-08-15;14:18:39;Queda;Ferido;Barra do Ceará;;Avenida Costa Oeste;BARRA DO CEARA;Não informado;-3.698122667355131;-38.576649602122764;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408150527;;;;
JHS8564;2024-08-15;21:04:00;Atropelamento;Fatal;Avenida Francisco Sá;;2979;Não informado;Municipal;-3.7191886332548294;-38.55202304801523;;Semáforo;Não informado;;Não informado;;BEST;1930;;;;;
DOH5839;2024-08-16;11:40:36;Colisão;Ferido;Sulamita Portela - Esquina Cj. Omega 2;;144;Quintino Cunha;Não informado;-3.7274835;-38.6009304;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;SAMU;;2408160352;;;;
OWO9897;2024-08-17;14:41:23;Colisão;Ferido;Rua Antero Quental;;100;Paupina;;-3.8524959;-38.4923685;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408170485;;;;
HJK2212;2024-08-19;09:47:06;Colisão;Ferido;Rua Adolfo Moreira De Carvalho;;156;Edson Queiroz;;-3.7739241;-38.4771644;Meio De Quadra;;Não informado;;Não informado;;SAMU;;2408190274;;;;
